"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0139,0.117,2667,0,2630,1,37,2630,37,0.0053,0.0727,189,0,188,1,1,188,1,0.1371,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.024,0.1531,2667,0,2603,1,64,2603,64,0.0423,0.2019,189,0,181,1,8,181,8,0.2225,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7787,0.1716,2640,0,1,1,284,NA,NA,0.7645,0.1806,187,0.082492404146227,1,1,9,NA,NA,0.2977,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","age_2012_election","Age in years at the November 2012 presidential election","No",42.8966,15.8965,372,18.0396988364134,1,72.8350444900753,1,NA,NA,14.4659,2.1871,44,10.2915811088296,1,17.7166324435318,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4162,0.4936,370,0,216,1,154,216,154,0.3636,0.4866,44,0,28,1,16,28,16,0.5016,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.7978,2.0654,366,1,13,8,28,NA,NA,3.8409,1.7645,44,1,2,7,1,NA,NA,0.0015,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.6156,6.985,359,1,36,22,27,NA,NA,9.5455,7.5559,44,1,10,22,3,NA,NA,0.0132,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.087,0.2822,368,0,336,1,32,336,32,0.0909,0.2908,44,0,40,1,4,40,4,0.9322,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0951,0.2938,368,0,333,1,35,333,35,0.2727,0.4505,44,0,32,1,12,32,12,0.014,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0353,0.1849,368,0,355,1,13,355,13,0.0909,0.2908,44,0,40,1,4,40,4,0.2217,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.019,0.1368,368,0,361,1,7,361,7,0,0,44,0,44,0,44,44,0,0.008,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0326,0.1779,368,0,356,1,12,356,12,0.0909,0.2908,44,0,40,1,4,40,4,0.1996,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7674,0.1835,370,0.082492404146227,3,1,26,NA,NA,0.7156,0.2166,44,0.082492404146227,1,1,2,NA,NA,0.1336,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
