"Subgroup","treatment","Bin_60days","N","Mean_Liberal_Index","SD_Liberal_Index","Treatment_Label","Outcome","Bin_Width_Days"
"Expect In-Party Win",1,"(660,720]",9,0.759,0.1869,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(720,780]",2,0.7302,0.3255,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(780,840]",1,0.8792,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(840,900]",4,0.8962,0.1182,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(900,960]",3,0.758,0.2246,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(960,1.02e+03]",3,0.6062,0.1452,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.02e+03,1.08e+03]",6,0.7704,0.1456,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.08e+03,1.14e+03]",2,0.7831,0.0288,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.14e+03,1.2e+03]",2,0.7199,0.3282,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.2e+03,1.26e+03]",3,0.8278,0.112,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.26e+03,1.32e+03]",3,0.6779,0.2264,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.32e+03,1.38e+03]",1,0.5,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.38e+03,1.44e+03]",4,0.8874,0.0516,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.44e+03,1.5e+03]",4,0.6726,0.3974,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.5e+03,1.56e+03]",3,0.8539,0.1668,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.56e+03,1.62e+03]",4,0.8396,0.1044,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.62e+03,1.68e+03]",3,0.6737,0.2122,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.68e+03,1.74e+03]",5,0.8687,0.0605,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.74e+03,1.8e+03]",4,0.836,0.0312,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.8e+03,1.86e+03]",5,0.7377,0.2211,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.86e+03,1.92e+03]",3,0.8237,0.2071,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.92e+03,1.98e+03]",3,0.7997,0.1809,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(1.98e+03,2.04e+03]",1,0.5332,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.04e+03,2.1e+03]",7,0.7642,0.1954,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.1e+03,2.16e+03]",2,0.6222,0.2975,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.16e+03,2.22e+03]",1,0.7206,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.22e+03,2.28e+03]",3,0.5792,0.1555,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.28e+03,2.34e+03]",4,0.8029,0.2136,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.34e+03,2.4e+03]",6,0.8471,0.0895,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.4e+03,2.46e+03]",8,0.7615,0.2411,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.46e+03,2.52e+03]",5,0.6962,0.2039,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.52e+03,2.58e+03]",1,0.4696,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.58e+03,2.64e+03]",3,0.8893,0.1094,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.7e+03,2.76e+03]",2,0.8586,0.1027,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.76e+03,2.82e+03]",4,0.6696,0.2626,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.82e+03,2.88e+03]",4,0.7131,0.077,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.88e+03,2.94e+03]",3,0.5623,0.0794,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(2.94e+03,3e+03]",4,0.7623,0.1746,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
